,OBJECTID,equipamien,x,y,identifica,codvia,numportal,telefono,geo_shape,geo_point_2d,grupo,geo_shape_2d,icono
100,24295,AGEVALCEE. AGRUPACIÓN EMPRESARIAL VALENCIANA DE CENTROS ESPECIALES DE EMPLEO,723436.696,4374684.558,10191,81575,41,96347042.0,"{""coordinates"": [-0.40170625380424985, 39.492762399277844], ""type"": ""Point""}","39.492762399277844, -0.40170625380424985",disc,"[39.492762399277844, -0.40170625380424985]",user-injured
101,24321,ASOCIACIÓN VALENCIANA DE PERSONAS SORDAS,725516.955,4374797.716,1369,48060,46,963264175.0,"{""coordinates"": [-0.37750076400097715, 39.49323801963205], ""type"": ""Point""}","39.49323801963205, -0.37750076400097715","['disc', 'disc_sensorial']","[39.49323801963205, -0.37750076400097715]",user-injured
102,24325,CENTRO DE ATENCIÓN TEMPRANA ALCER TURIA,724335.226,4371835.106,10146,22500,3,960450360.0,"{""coordinates"": [-0.39222620929658475, 39.466879859567825], ""type"": ""Point""}","39.466879859567825, -0.39222620929658475","['disc', 'disc_intelectual', 'disc_fisica', 'disc_sensorial']","[39.466879859567825, -0.39222620929658475]",user-injured
103,24329,ASOCIACIÓN DE SINDROME DE DOWN - ASINDOWN,722683.409,4372020.823,489,78240,6,963890987.0,"{""coordinates"": [-0.4113472489883462, 39.46898044373701], ""type"": ""Point""}","39.46898044373701, -0.4113472489883462","['disc', 'disc_intelectual']","[39.46898044373701, -0.4113472489883462]",user-injured
105,24440,ASOCIACIÓN VALENCIANA CONTRA EL SIDA - AVACOS,724808.082,4370362.223,460,32160,24,963342027.0,"{""coordinates"": [-0.38723094134087094, 39.45349871695349], ""type"": ""Point""}","39.45349871695349, -0.38723094134087094",disc,"[39.45349871695349, -0.38723094134087094]",user-injured
106,24447,CENTRO DE ATENCIÓN TEMPRANA ATTEM,728295.822,4372047.346,9566,57540,66,963559222.0,"{""coordinates"": [-0.3461597414528438, 39.46774904051907], ""type"": ""Point""}","39.46774904051907, -0.3461597414528438","['disc', 'disc_intelectual', 'disc_fisica', 'disc_sensorial']","[39.46774904051907, -0.3461597414528438]",user-injured
7,21956,CASAL DE LA PAU,725931.763,4373122.503,3461,27240,4,963915429.0,"{""coordinates"": [-0.3732495337853494, 39.478050375420196], ""type"": ""Point""}","39.478050375420196, -0.3732495337853494","['cooperacion_internacional', 'privadas_libertad']","[39.478050375420196, -0.3732495337853494]",pills
8,21974,SERVICIOS SOCIALES PENITENCIARIOS,729196.8,4365827.866,6732,66600,14,963747898.0,"{""coordinates"": [-0.33783025278765266, 39.41152859525946], ""type"": ""Point""}","39.41152859525946, -0.33783025278765266","['cooperacion_internacional', 'privadas_libertad']","[39.41152859525946, -0.33783025278765266]",pills
10,24162,ASOCIACIÓN AMBIT,729399.56484484,4369976.69305979,1482,4800,80,963679580.0,"{""coordinates"": [-0.33405376541157167, 39.44881795291373], ""type"": ""Point""}","39.44881795291373, -0.33405376541157167","['cooperacion_internacional', 'privadas_libertad']","[39.44881795291373, -0.33405376541157167]",pills
12,24293,VIVIENDA TUTELADA PAPALLONA.,729232.306,4372906.238,10174,42600,14,963679580.0,"{""coordinates"": [-0.3349894069683215, 39.47523094601475], ""type"": ""Point""}","39.47523094601475, -0.3349894069683215","['cooperacion_internacional', 'mujer', 'privadas_libertad']","[39.47523094601475, -0.3349894069683215]",pills
0,21859,ASOCIACIÓN EMPRESARIAL DE RESIDENCIAS Y SERVICIOS SOCIALES DE LA COMUNIDAD VALENCIANA - AERTE,721325.926,4375349.787,1400,76320,2,963571710.0,"{""coordinates"": [-0.4260075931350785, 39.4992962065423], ""type"": ""Point""}","39.4992962065423, -0.4260075931350785",mayores,"[39.4992962065423, -0.4260075931350785]",pills
1,21879,CENTRO MUNICIPAL DE ACTIVIDADES PARA PERSONAS MAYORES SAN JOSE,728157.2666533,4373150.51465353,3465,81437,8,963621757.0,"{""coordinates"": [-0.3473914522932878, 39.477715336855084], ""type"": ""Point""}","39.477715336855084, -0.3473914522932878",mayores,"[39.477715336855084, -0.3473914522932878]",pills
2,21888,CENTRO MUNICIPAL DE ACTIVIDADES PARA PERSONAS MAYORES PATRAIX,724178.52,4371374.4,7843,66480,S/N,962087908.0,"{""coordinates"": [-0.3942008703772036, 39.462773691705195], ""type"": ""Point""}","39.462773691705195, -0.3942008703772036",mayores,"[39.462773691705195, -0.3942008703772036]",pills
3,21889,AULAS DE TERCERA EDAD,726704.262,4371813.067,1438,12600,39,963334877.0,"{""coordinates"": [-0.36472212286315797, 39.46606088494316], ""type"": ""Point""}","39.46606088494316, -0.36472212286315797",mayores,"[39.46606088494316, -0.36472212286315797]",pills
4,21890,CEAM DOCTOR WAKSMAN,726004.877,4370693.793,3412,25260,20,963732711.0,"{""coordinates"": [-0.37322295534723715, 39.45617001991109], ""type"": ""Point""}","39.45617001991109, -0.37322295534723715",mayores,"[39.45617001991109, -0.37322295534723715]",pills
5,21892,CARE VALENCIA,724906.277,4374720.268,1958,68190,35,963497433.0,"{""coordinates"": [-0.3846214273693938, 39.492700803657826], ""type"": ""Point""}","39.492700803657826, -0.3846214273693938",mayores,"[39.492700803657826, -0.3846214273693938]",pills
6,21923,LARES. ASOCIACIÓN DE RESIDENCIAS Y SERVICIOS DE ATENCIÓN A LOS MAYORES DE LA COMUNIDAD VALENCIANA - SECTOR SOLIDARIO,726354.29,4371941.422,9654,46320,49,963923643.0,"{""coordinates"": [-0.36874273500256444, 39.46730831073717], ""type"": ""Point""}","39.46730831073717, -0.36874273500256444",mayores,"[39.46730831073717, -0.36874273500256444]",pills
7,21961,CLUB DE JUBILADOS ASTILLEROS,729802.397,4373566.724,3470,44550,87,963725250.0,"{""coordinates"": [-0.3281407934663076, 39.48102381279483], ""type"": ""Point""}","39.48102381279483, -0.3281407934663076",mayores,"[39.48102381279483, -0.3281407934663076]",pills
8,22017,CEAM ISLAS CANARIAS,728703.076,4371438.946,3413,52770,3,963304342.0,"{""coordinates"": [-0.3416388704139845, 39.462164785561725], ""type"": ""Point""}","39.462164785561725, -0.3416388704139845",mayores,"[39.462164785561725, -0.3416388704139845]",pills
11,23542,MICRO-RESIDENCIA SAN MARTIN,725846.58,4372720.415,5472,7650,9,963922131.0,"{""coordinates"": [-0.3743750796213222, 39.47445348717718], ""type"": ""Point""}","39.47445348717718, -0.3743750796213222",mayores,"[39.47445348717718, -0.3743750796213222]",pills
13,23658,CENTRO MUNICIPAL DE ACTIVIDADES PARA PERSONAS MAYORES BENIFERRI,722967.51990159,4374693.88578619,7839,81639,1,618803940.0,"{""coordinates"": [-0.4071538282384812, 39.492968119641326], ""type"": ""Point""}","39.492968119641326, -0.4071538282384812",mayores,"[39.492968119641326, -0.4071538282384812]",pills
14,23663,CENTRO MUNICIPAL ATENCIÓN PERSONAS MAYORES LA AMISTAD,727955.55742371,4372589.63909854,3568,0,12,962082740.0,"{""coordinates"": [-0.34992590748424257, 39.47272037353057], ""type"": ""Point""}","39.47272037353057, -0.34992590748424257",mayores,"[39.47272037353057, -0.34992590748424257]",pills
15,23671,CENTRO MUNICIPAL DE ACTIVIDADES PARA PERSONAS MAYORES REINO DE VALENCIA,724945.0612054,4372738.19873952,3462,24570,17,963913505.0,"{""coordinates"": [-0.38483961311512543, 39.47484966372428], ""type"": ""Point""}","39.47484966372428, -0.38483961311512543",mayores,"[39.47484966372428, -0.38483961311512543]",pills
16,23688,ASOCIACIÓN DE JUBILADOS Y PENSIONISTAS UDP. ALGIRÓS,727591.467,4372204.379,9504,540,39,963629779.0,"{""coordinates"": [-0.35428580110947017, 39.4693489998014], ""type"": ""Point""}","39.4693489998014, -0.35428580110947017",mayores,"[39.4693489998014, -0.35428580110947017]",pills
17,23725,CENTRO MUNICIPAL DE ACTIVIDADES PARA PERSONAS MAYORES TRAFALGAR,728397.12869193,4371351.43938107,3569,73560,34,962082720.0,"{""coordinates"": [-0.3452214537828212, 39.461458353708295], ""type"": ""Point""}","39.461458353708295, -0.3452214537828212",mayores,"[39.461458353708295, -0.3452214537828212]",pills
